NAME;PRED
6LU7_1051;5.0932207
6LU7_91443;0.8556781
6LU7_6274;4.1261477
6LU7_34755;3.7111285
6LU7_1060;8.877453
6LU7_6140;4.343655
6LU7_171548;13.525888
6LU7_305;8.59786
6LU7_5962;5.1828675
6LU7_6322;4.4420733
6LU7_54670067;6.36565
6LU7_1103;9.20416
6LU7_5960;4.109085
6LU7_6262;5.0849333
6LU7_6992086;4.7874217
6LU7_6083;4.2847157
6LU7_5280934;4.3364625
6LU7_5951;4.7330937
6LU7_6137;4.0880785
6LU7_6057;4.7854967
6LU7_5280453;5.751012
6LU7_5281243;12.505616
6LU7_6992103;4.384392
6LU7_1110;6.072239
6LU7_493570;6.3960524
6LU7_1738118;5.131893
6LU7_44272391;5.0956845
6LU7_124886;2.820138
6LU7_750;4.8190103
6LU7_5283731;5.6997824
6LU7_1050;9.210104
6LU7_59098743;13.157532
6LU7_6106;3.2629552
6LU7_6305;4.1395926
6LU7_6419722;3.969134
6LU7_1130;11.415095
6LU7_5280793;7.789028
6LU7_5280581;4.1604557
6LU7_6992098;5.005785
6LU7_6971019;5.2662673
6LU7_439153;4.962876
6LU7_6037;2.1861434
6LU7_446284;4.4131045
6LU7_5950;4.8322663
6LU7_6971018;5.032839
6LU7_445354;12.529091
6LU7_14985;13.7260275
6LU7_1054;13.641857
6LU7_6112;5.0126204
6LU7_6306;4.214864
6LU7_6992066;3.4938536
6LU7_5280795;8.262579
6LU7_4055;4.2221193
6LU7_5957;4.6991286
6LU7_145742;7.207417
6LU7_190;5.7535048
6LU7_6267;4.6538324
6LU7_54687;8.625715
6LU7_5324346;5.5277276
6LU7_60846;4.5840173
6LU7_5362129;3.0388823
6LU7_71398;4.654231
6LU7_82153;7.6906433
6LU7_2284;3.8528476
6LU7_3007;5.535189
6LU7_89594;7.1136503
6LU7_25137844;13.677112
6LU7_3958;6.1246114
6LU7_59768;4.1406603
6LU7_5281077;8.57798
6LU7_34359;4.868945
6LU7_4771;3.1457367
6LU7_52195;13.414072
6LU7_5523;12.628719
6LU7_21704;2.8819666
6LU7_2369;4.3371406
6LU7_3365;5.032476
6LU7_5591;5.3369546
6LU7_65028;3.0643458
6LU7_2519;8.502913
6LU7_5314;13.391743
6LU7_5212;13.636605
6LU7_71329;7.4506974
6LU7_4993;4.6571336
6LU7_5770;12.080467
6LU7_5472;13.040441
6LU7_60164;4.0551805
6LU7_4195;5.9643083
6LU7_4679;9.791981
6LU7_41781;12.573063
6LU7_2771;3.8496723
6LU7_77993;4.0130286
6LU7_2368;4.423396
6LU7_152946;3.18967
6LU7_5749;10.977613
6LU7_64143;3.1115842
6LU7_3762;13.2340765
6LU7_71415;4.7173176
6LU7_5362440;3.8148315
6LU7_38521;10.634475
6LU7_53232;3.1380694
6LU7_3226;13.433738
6LU7_43708;13.6444845
6LU7_5486971;4.356314
6LU7_5391;6.0667586
6LU7_4121;13.606106
6LU7_4649;11.753466
6LU7_127151;4.684031
6LU7_4197;5.0923038
6LU7_4842;7.9837255
6LU7_2479;13.459594
6LU7_4463;4.971386
6LU7_5353853;8.04667
6LU7_5311000;13.2525215
6LU7_2481;13.41051
6LU7_20279;4.0634522
6LU7_56959;13.522211
6LU7_4075;5.231629
6LU7_60854;4.4333076
6LU7_6540428;3.8659697
6LU7_54746;13.752371
6LU7_5905;4.248023
6LU7_2955;13.46451
6LU7_441383;5.271023
6LU7_1775;5.9286594
6LU7_247839;7.804113
6LU7_448537;3.1091552
6LU7_2812;8.3804035
6LU7_5333;13.4266205
6LU7_6234;4.095769
6LU7_2182;4.6501546
6LU7_2578;13.59179
6LU7_5344;13.539114
6LU7_4171;5.151424
6LU7_2883;10.99284
6LU7_54676038;4.547166
6LU7_9570757;13.648771
6LU7_5095;4.137355
6LU7_11289;4.908497
6LU7_3784;9.690226
6LU7_2140;5.4258733
6LU7_7741;5.4246655
6LU7_5284627;13.122241
6LU7_42008;13.646375
6LU7_158781;3.7790532
6LU7_2179;6.8335953
6LU7_2153;5.6499844
6LU7_92722;2.4955094
6LU7_7048703;3.73301
6LU7_3114;13.446973
6LU7_3676;13.482353
6LU7_44400012;4.091685
6LU7_26987;5.7649655
6LU7_9811704;13.634866
6LU7_5656;13.497734
6LU7_5282226;8.061336
6LU7_443958;5.5053215
6LU7_54841;3.65436
6LU7_2708;10.988539
6LU7_667484;8.377679
6LU7_104758;4.3050165
6LU7_6917715;2.7360945
6LU7_5288826;3.2205975
6LU7_175805;13.628404
6LU7_2474;13.491539
6LU7_3033538;12.531763
6LU7_4725;1.5094562
6LU7_21319;10.601187
6LU7_150610;12.798765
6LU7_40973;3.2054956
6LU7_5746;9.240152
6LU7_8275;13.383276
6LU7_82146;3.836586
6LU7_60753;8.98753
6LU7_2732;10.305969
6LU7_3295;13.473004
6LU7_4737;11.529213
6LU7_3121;11.222946
6LU7_60857;7.034846
6LU7_1983;7.5437818
6LU7_123631;3.3960695
6LU7_5284371;3.0868146
6LU7_43672;10.609776
6LU7_10531;6.3938036
6LU7_2160;6.818612
6LU7_5790;4.0864944
6LU7_4659569;5.0674367
6LU7_9878;6.292552
6LU7_5284570;3.3587425
6LU7_3715;4.804526
6LU7_14052;13.162304
6LU7_4091;6.2611585
6LU7_4095;10.271361
6LU7_2249;4.084993
6LU7_5447130;13.564836
6LU7_4594;8.700814
6LU7_1046;10.472381
6LU7_4167;6.0202427
6LU7_2678;9.165976
6LU7_5405;5.615052
6LU7_39186;11.340101
6LU7_4976;5.912501
6LU7_2148;12.750602
6LU7_2092;5.1413507
6LU7_5576;7.830282
6LU7_115355;3.942495
6LU7_2789;7.907636
6LU7_11683;6.388892
6LU7_2723601;12.326279
6LU7_8226;3.3688147
6LU7_6729;12.144999
6LU7_9568617;5.245635
6LU7_2733;9.565456
6LU7_2145;13.308056
6LU7_4046;4.336682
6LU7_5215;13.250111
6LU7_44257;0.5295472
6LU7_72474;7.975899
6LU7_3162;5.6421146
6LU7_13109;2.7226224
6LU7_439260;5.12015
6LU7_60613;4.0531816
6LU7_4205;4.72066
6LU7_4064;13.38834
6LU7_5440;7.2261415
6LU7_33624;8.189709
6LU7_6918140;3.3475547
6LU7_5572;8.26164
6LU7_6337614;6.8122015
6LU7_9051;4.5035496
6LU7_4178;8.591084
6LU7_71384;13.523469
6LU7_2162;9.936911
6LU7_1935;8.27686
6LU7_4642;6.8485866
6LU7_5546;6.796274
6LU7_4919;8.78499
6LU7_6041;3.8703504
6LU7_31072;12.594742
6LU7_5355;13.563401
6LU7_3290;12.327785
6LU7_4497;11.454886
6LU7_21700;8.7127075
6LU7_2576;13.637136
6LU7_5994;5.3177238
6LU7_4786;9.055607
6LU7_216239;4.347636
6LU7_68740;4.259108
6LU7_441140;4.6481347
6LU7_4499;12.332038
6LU7_969472;6.424221
6LU7_2118;7.5094943
6LU7_16960;13.09799
6LU7_3468;10.105778
6LU7_3964;6.0455437
6LU7_54477;10.560629
6LU7_2551;10.346282
6LU7_77999;4.1341343
6LU7_119570;9.438246
6LU7_1989;13.581875
6LU7_6249;5.7685976
6LU7_6869;9.449596
6LU7_5193;13.528335
6LU7_51634;9.3351345
6LU7_4926;5.4187703
6LU7_5833;3.6374557
6LU7_4158;6.0364056
6LU7_4107;4.71268
6LU7_5732;9.612349
6LU7_3324;9.268018
6LU7_5282443;6.303561
6LU7_29327;6.8577065
6LU7_636405;11.20204
6LU7_6256;5.820833
6LU7_4917;4.094682
6LU7_2913;5.7307696
6LU7_2315;13.0559435
6LU7_2094;5.602585
6LU7_57514439;13.031546
6LU7_446156;3.2768075
6LU7_5578;4.6948895
6LU7_60750;4.460746
6LU7_153941;3.129025
6LU7_9782;5.0337567
6LU7_452548;13.234095
6LU7_41867;12.970628
6LU7_5959;13.566484
6LU7_5284585;3.7575085
6LU7_3883;9.120247
6LU7_3105;4.6686
6LU7_3168;11.752117
6LU7_5819;3.6174984
6LU7_8378;13.357864
6LU7_4058;10.825956
6LU7_3957;8.179222
6LU7_6024;12.870048
6LU7_4893;4.9240093
6LU7_3696;6.3202443
6LU7_5284513;11.482105
6LU7_4409;6.5486197
6LU7_4099;8.797196
6LU7_3826;4.156336
6LU7_3229;4.0909433
6LU7_3034034;6.3578806
6LU7_54677971;5.23175
6LU7_16078;3.835182
6LU7_5281040;4.2001944
6LU7_3386;4.1777773
6LU7_10770;5.607427
6LU7_9034;10.094612
6LU7_60835;5.315895
6LU7_2726;8.795542
6LU7_5071;11.939774
6LU7_37768;13.277391
6LU7_216326;6.921684
6LU7_5035;2.5814435
6LU7_2662;5.7174635
6LU7_2435;12.353462
6LU7_18381;10.998222
6LU7_5284592;3.907091
6LU7_6919009;7.3572774
6LU7_2123;6.459579
6LU7_5253;12.625298
6LU7_2477;12.026786
6LU7_441314;5.955828
6LU7_5742673;13.657263
6LU7_5281081;4.8185477
6LU7_35370;4.252698
6LU7_444031;5.101254
6LU7_5284603;8.042272
6LU7_4760;5.0133357
6LU7_3397;13.02253
6LU7_5509;4.5453815
6LU7_2756;7.9801817
6LU7_3559;4.582699
6LU7_5359371;6.4903774
6LU7_20299;11.915184
6LU7_41684;7.9465423
6LU7_5568;5.171421
6LU7_8730;3.6724005
6LU7_517030;13.425796
6LU7_5360696;4.649097
6LU7_2082;5.4284596
6LU7_5484727;2.940234
6LU7_2583;3.6100988
6LU7_6957673;6.257391
6LU7_449171;3.9918156
6LU7_4170;13.65152
6LU7_5510;6.799292
6LU7_3025;13.406627
6LU7_65866;4.998437
6LU7_3415;4.2973824
6LU7_176870;5.8503165
6LU7_2907;13.605679
6LU7_4060;4.135607
6LU7_5090;5.224991
6LU7_6915944;13.672583
6LU7_3520;5.4362984
6LU7_4011971;5.011992
6LU7_3005573;7.308485
6LU7_4543;4.8884854
6LU7_5362124;3.7508576
6LU7_2170;5.9416223
6LU7_3385;9.348022
6LU7_4991;9.336072
6LU7_37632;6.621533
6LU7_5311067;3.687641
6LU7_2266;5.072338
6LU7_5717;4.599127
6LU7_657298;11.58069
6LU7_1990;9.89529
6LU7_439693;4.70331
6LU7_4114;4.1131983
6LU7_54676228;5.7682166
6LU7_3878;8.521255
6LU7_6432;8.364218
6LU7_3658;13.683821
6LU7_60855;3.5826716
6LU7_104865;3.401431
6LU7_3156;5.45108
6LU7_2343;9.674799
6LU7_126941;2.172085
6LU7_2554;5.4947896
6LU7_2724354;4.258944
6LU7_27447;5.685095
6LU7_1547484;7.2243376
6LU7_4946;5.169075
6LU7_3342;4.1286373
6LU7_3337;9.299697
6LU7_2803;9.215888
6LU7_5328;13.440546
6LU7_60773;5.2089796
6LU7_20824;4.7455187
6LU7_4020;8.69118
6LU7_119607;4.141789
6LU7_11333;13.398018
6LU7_71616;4.54406
6LU7_10917;5.5285473
6LU7_5388962;3.0784907
6LU7_4513;13.608767
6LU7_3033;4.882985
6LU7_6436135;6.20203
6LU7_444036;1.4898365
6LU7_28864;3.9443269
6LU7_3157;4.7460146
6LU7_6215;4.429293
6LU7_4837;6.128882
6LU7_3291;13.264019
6LU7_16231;5.9540586
6LU7_5311167;2.212035
6LU7_3869;3.7761023
6LU7_3000715;12.870194
6LU7_7638;3.6800735
6LU7_441401;9.697105
6LU7_6279;7.153213
6LU7_6917698;6.599702
6LU7_1548887;4.1294937
6LU7_2910;13.654806
6LU7_8982;10.474369
6LU7_2719;13.434897
6LU7_2761171;11.614948
6LU7_5906;11.587688
6LU7_6916249;6.975965
6LU7_2405;6.1262293
6LU7_2165;5.17763
6LU7_5323714;11.876319
6LU7_8280;8.489526
6LU7_5291;4.0632997
6LU7_31307;13.065959
6LU7_5878;11.799304
6LU7_4474;5.194996
6LU7_3372;4.488389
6LU7_6013;7.9614034
6LU7_64139;3.795076
6LU7_938;4.159422
6LU7_2809;4.121918
6LU7_3517;5.737653
6LU7_44400013;4.1958194
6LU7_119182;3.8446212
6LU7_5311068;11.466812
6LU7_5320;13.416873
6LU7_5865;13.000456
6LU7_2796;8.905859
6LU7_2247;8.411356
6LU7_47472;6.1936846
6LU7_60961;3.4430473
6LU7_54454;3.052919
6LU7_446556;4.0957546
6LU7_4030;4.5852656
6LU7_3180;4.7914257
6LU7_10100;11.335976
6LU7_4211;13.592507
6LU7_18283;4.136478
6LU7_6006;3.563661
6LU7_3182;7.4814687
6LU7_4736;3.4331205
6LU7_5311221;5.4811993
6LU7_5870;3.4149733
6LU7_5533;11.023663
6LU7_4032;13.355393
6LU7_71158;13.518858
6LU7_15459;8.891699
6LU7_2520;7.07778
6LU7_5577;3.1015992
6LU7_16490;8.682501
6LU7_9047;13.470579
6LU7_4493;12.4198475
6LU7_5816;4.720222
6LU7_5358;5.1549053
6LU7_4848;11.888236
6LU7_5362065;13.711938
6LU7_2727;13.411911
6LU7_6918365;13.620847
6LU7_9651;3.5270617
6LU7_2733526;4.926806
6LU7_2345;3.5892816
6LU7_5936;9.49371
6LU7_3961;6.200578
6LU7_5452;8.631083
6LU7_34633;5.9955525
6LU7_54678486;6.059014
6LU7_4192;4.2769275
6LU7_36294;5.478462
6LU7_37720;13.468691
6LU7_31378;6.0965066
6LU7_5281078;10.52278
6LU7_19150;7.420615
6LU7_3393;13.426946
6LU7_91270;4.1155443
6LU7_4920903;12.984829
6LU7_16850;4.3202477
6LU7_30323;12.075401
6LU7_3440;8.722563
6LU7_8223;4.754377
6LU7_5487;8.222087
6LU7_6604200;9.933472
6LU7_34040;3.7232008
6LU7_443872;4.4985847
6LU7_65016;4.6145267
6LU7_5376308;13.440632
6LU7_5360515;13.641669
6LU7_5625;4.3882875
6LU7_129211;13.385318
6LU7_41693;13.566723
6LU7_60825;4.517167
6LU7_60852;4.317459
6LU7_3052;13.226141
6LU7_3394;4.3452578
6LU7_6196;12.345554
6LU7_6005;3.6274073
6LU7_43815;4.7324524
6LU7_50294;4.5504866
6LU7_6230;3.1427057
6LU7_60871;3.3455434
6LU7_19861;4.0144563
6LU7_25419;5.222574
6LU7_4914;13.404771
6LU7_5362119;2.125654
6LU7_6082;4.4151497
6LU7_57469;8.655745
6LU7_5584;10.55924
6LU7_4510;6.355615
6LU7_441290;13.603511
6LU7_5430;6.929741
6LU7_6789253;6.0666447
6LU7_5073;13.457908
6LU7_73342;5.5188875
6LU7_9568614;6.1195655
6LU7_4034;13.277056
6LU7_4735;4.12733
6LU7_443387;9.555674
6LU7_5070;6.3849115
6LU7_5754;13.4817505
6LU7_6251;13.050167
6LU7_60490;4.0566416
6LU7_4236;11.263725
6LU7_2564;11.556252
6LU7_3308;3.844724
6LU7_4906;13.452167
6LU7_3241;4.6876197
6LU7_5530;4.123803
6LU7_3763;13.550399
6LU7_3292;4.7607384
6LU7_444795;2.9552908
6LU7_3598;7.8296986
6LU7_60606;13.055235
6LU7_40466974;12.125736
6LU7_60838;3.9951863
6LU7_1349907;11.779352
6LU7_441335;2.3597393
6LU7_441350;3.1493056
6LU7_5280980;6.996317
6LU7_2342;13.419664
6LU7_5281071;4.0698876
6LU7_84088;13.341751
6LU7_5280723;4.534562
6LU7_4004;13.498701
6LU7_36462;13.002884
6LU7_3647;13.322538
6LU7_40466968;3.9911845
6LU7_34312;6.58017
6LU7_4940;8.583881
6LU7_4421;5.027236
6LU7_3675;4.8462305
6LU7_4934;7.3588095
6LU7_5757;3.3250284
6LU7_4044;4.952795
6LU7_119031;1.0477653
6LU7_2022;4.2382407
6LU7_156391;3.9386911
6LU7_107807;2.8297727
6LU7_6194;13.465595
6LU7_5587;4.718135
6LU7_3561;13.353839
6LU7_4909;6.14144
6LU7_2540;5.3077874
6LU7_5504;3.2770853
6LU7_5381;4.2516546
6LU7_3341;5.710623
6LU7_31640;5.5024085
6LU7_51263;12.595008
6LU7_3042;13.3938675
6LU7_4199;5.6911135
6LU7_4740;12.10615
6LU7_4935;13.616736
6LU7_3702;13.661957
6LU7_5593;3.9119143
6LU7_2381;12.714802
6LU7_37542;4.417203
6LU7_4781;9.430532
6LU7_3345;6.8735614
6LU7_54677470;9.026997
6LU7_4086;12.089608
6LU7_287180;4.8294597
6LU7_4943;4.630938
6LU7_1986;13.316805
6LU7_110635;12.571258
6LU7_2581;4.1319485
6LU7_3117;13.344205
6LU7_9270;7.153997
6LU7_1676;12.6147995
6LU7_16666;13.492432
6LU7_5284447;13.157765
6LU7_2762;5.1907663
6LU7_446987;8.026657
6LU7_3016;4.864349
6LU7_4762;5.8863726
6LU7_5566;4.094537
6LU7_6839;3.567289
6LU7_51039;8.304119
6LU7_55245;2.0577269
6LU7_6834;13.318525
6LU7_3955;6.1537886
6LU7_5311052;9.729924
6LU7_5503;13.592581
6LU7_36811;4.406888
6LU7_4616;5.4841413
6LU7_3152;3.4066565
6LU7_5311304;6.2793503
6LU7_2794;7.112654
6LU7_15209;8.181519
6LU7_118985556;6.4602137
6LU7_26879;3.1355848
6LU7_8271;4.038364
6LU7_4748;6.773292
6LU7_7028;13.358196
6LU7_5394;13.467149
6LU7_5359272;3.5272627
6LU7_7048523;8.632207
6LU7_7697;8.970047
6LU7_1549008;4.7235646
6LU7_6011;13.517672
6LU7_6926437;3.9205945
6LU7_5755;13.394974
6LU7_3059;4.3620253
6LU7_110634;13.681942
6LU7_5039;13.509391
6LU7_5311017;4.251029
6LU7_2119;2.223793
6LU7_688570;4.17481
6LU7_5284549;13.659653
6LU7_5359;8.35977
6LU7_5403;4.9725943
6LU7_151171;11.303831
6LU7_444025;13.379363
6LU7_3516;7.8845057
6LU7_5281881;3.1966486
6LU7_5281037;3.7715511
6LU7_88536661;5.017543
